EmployeeID,Name,Department,Salary,Performance,YearsOfExperience,SkillLevel
1,Employee1,HR,102251,4.929844867497959,13,4.0
2,Employee2,Finance,72662,3.233111039954694,2,1.0
3,Employee3,Sales,58392,2.099152198701645,0,5.0
4,Employee4,Finance,80535,3.035213744080049,19,7.0
5,Employee5,Finance,128603,3.903054034104091,0,6.0
6,Employee6,Engineering,9999999,4.042116354664301,2,5.0
7,Employee7,Sales,139135,3.5928037499514094,17,4.0
8,Employee8,Sales,85222,3.343349493719275,9,2.0
9,Employee9,,127373,3.6586792672139836,2,4.0
10,Employee10,Finance,129575,3.7780901716381807,7,3.0
11,Employee11,HR,146354,-5.0,13,1.0
12,Employee12,Sales,134651,3.1089633681842135,17,8.0
13,Employee13,Finance,113335,2.7264798148322775,14,5.0
14,Employee14,Engineering,60965,4.409419269139688,1,4.0
15,Employee15,HR,74538,3.4109019033381154,9,8.0
16,Employee16,Engineering,120592,4.950269422684529,1,7.0
17,Employee17,HR,148018,3.196473327333659,16,2.0
18,Employee18,Finance,58110,4.449295619658152,7,1.0
19,Employee19,R&D,129309,4.395035374953654,0,4.0
20,Employee20,HR,77266,2.4521526318962885,8,8.0
21,Employee21,Engineering,102992,3.524596330222156,10,
22,Employee22,Finance,132948,4.087438420372646,15,3.0
23,Employee23,HR,148806,4.57507641444116,6,1.0
24,Employee24,R&D,56910,2.977876715605654,9,1.0
25,Employee25,R&D,140982,2.6607231426966447,2,3.0
26,Employee26,Sales,50206,4.133448597314054,17,5.0
27,Employee27,Sales,137054,4.4285031384191464,12,3.0
28,Employee28,Engineering,137897,3.0459979618751882,6,1.0
29,Employee29,HR,73419,2.2885296532742623,3,1.0
30,Employee30,HR,100636,4.821569793468812,12,8.0
31,Employee31,Sales,100015,3.192716063262567,19,2.0
32,Employee32,HR,104268,3.5532540515824405,0,3.0
33,Employee33,HR,137939,4.513130317721984,7,2.0
34,Employee34,R&D,68141,4.0270703511178425,13,3.0
35,Employee35,Sales,130356,4.205648357722316,15,7.0
36,Employee36,Finance,121910,2.6272148622131413,13,1.0
37,Employee37,Sales,106044,3.6243439214826974,11,8.0
38,Employee38,Finance,117214,4.087353198035247,18,2.0
39,Employee39,R&D,83827,2.685650065391899,14,3.0
40,Employee40,Engineering,105820,2.5248647812878087,1,9.0
41,Employee41,HR,112623,4.946505029988307,1,7.0
42,Employee42,R&D,131734,3.549907673813043,18,4.0
43,Employee43,HR,125450,2.782487524491227,16,5.0
44,Employee44,Engineering,143426,4.988761099273773,19,2.0
45,Employee45,Engineering,72299,4.896258053866381,9,8.0
46,Employee46,R&D,93585,3.6748803608212928,5,4.0
47,Employee47,Engineering,114044,4.647909029568019,14,9.0
48,Employee48,Finance,92557,2.566121325024138,10,5.0
49,Employee49,Engineering,99080,2.8366140577765457,4,9.0
50,Employee50,HR,52693,4.101073489918313,0,4.0
51,Employee51,HR,145003,4.539983426714918,7,5.0
52,Employee52,HR,145259,4.568972875634278,11,9.0
53,Employee53,HR,119163,3.2135243813665704,11,8.0
54,Employee54,Finance,75939,4.663310296282879,4,3.0
55,Employee55,Sales,98925,4.552785346302539,6,1.0
56,Employee56,R&D,92941,4.806904982662843,3,3.0
57,Employee57,HR,71834,4.3560219533418305,5,4.0
58,Employee58,Engineering,68047,4.006964764142686,12,2.0
59,Employee59,HR,76105,3.742059864309364,19,1.0
60,Employee60,Engineering,125766,3.116848299685229,14,7.0
61,Employee61,Engineering,65707,4.820400327373335,2,8.0
62,Employee62,HR,71976,4.920991510265952,7,7.0
63,Employee63,Finance,94262,2.851762924212397,19,5.0
64,Employee64,Engineering,73776,2.9160915810331804,15,1.0
65,Employee65,Engineering,80080,3.45684126075868,12,7.0
66,Employee66,HR,116842,3.345272428958742,17,7.0
67,Employee67,Engineering,111373,4.983372387832462,9,9.0
68,Employee68,Engineering,56776,2.5277757580320364,18,3.0
69,Employee69,HR,142787,2.0542260908465626,16,9.0
70,Employee70,HR,105016,3.481681145550304,18,1.0
71,Employee71,R&D,59474,2.536468127663986,4,1.0
72,Employee72,Finance,108053,3.09940635374858,8,4.0
73,Employee73,Finance,71959,4.232511569169687,11,9.0
74,Employee74,Engineering,55530,4.162819772756388,0,6.0
75,Employee75,Finance,144856,2.9241823755571676,0,3.0
76,Employee76,Engineering,53748,3.627620691664698,14,1.0
77,Employee77,R&D,147504,3.52644223051628,1,4.0
78,Employee78,HR,148098,3.9089978545576862,15,9.0
79,Employee79,HR,63545,2.7513854558167523,7,3.0
80,Employee80,HR,116199,3.7696125426816316,12,9.0
81,Employee81,Finance,84766,4.936678574825027,0,7.0
82,Employee82,R&D,123530,3.460226458878365,15,4.0
83,Employee83,Finance,143557,4.7182963631556625,6,3.0
84,Employee84,Finance,111087,3.303183096531286,4,5.0
85,Employee85,R&D,145839,3.050235223084027,2,5.0
86,Employee86,R&D,118840,3.9353100860916945,11,3.0
87,Employee87,R&D,104384,4.006772178989299,15,9.0
88,Employee88,R&D,101005,4.592502695215709,18,4.0
89,Employee89,HR,96576,2.690555804724666,4,5.0
90,Employee90,Sales,89353,3.497580139654257,13,4.0
91,Employee91,Sales,112003,3.7160125976275493,4,5.0
92,Employee92,R&D,133211,4.305662042918927,14,7.0
93,Employee93,Sales,102733,2.1308113152633013,16,9.0
94,Employee94,Sales,115318,4.983651532392023,13,7.0
95,Employee95,R&D,139474,3.4098335419728287,19,5.0
96,Employee96,Sales,73664,2.838681025390276,4,7.0
97,Employee97,Finance,117172,4.6504820667987765,11,5.0
98,Employee98,Engineering,135616,4.243156321692242,15,3.0
99,Employee99,Engineering,143264,4.85921554107186,15,7.0
100,Employee100,R&D,76736,2.992250914011541,6,2.0
3,Employee3,Sales,58392,2.099152198701645,0,5.0
4,Employee4,Finance,80535,3.035213744080049,19,7.0
